Day,Date,Time,App,CPU(%),Memory(KB),Launch Frequency,Window Status,Session Duration (min)
Friday,01-11-2024,20:40.55,Postman,1.67,145787,1,Inactive,13
Friday,01-11-2024,23:45.50,Xcode,3.53,347496,4,Active,29
Friday,01-11-2024,21:31.36,WhatsApp,4.05,558845,1,Active,42
Friday,01-11-2024,16:04.54,Discord,3.28,348330,2,Inactive,44
Friday,01-11-2024,14:21.26,Word,4.5,214600,2,Inactive,28
Friday,01-11-2024,21:10.42,Excel,3.03,506457,1,Active,27
Friday,01-11-2024,21:00.09,Steam,2.17,369596,2,Inactive,38
Friday,01-11-2024,13:53.49,Blender,1.73,338653,1,Active,25
Friday,01-11-2024,12:33.40,Unity,3.29,415415,2,Active,12
Friday,01-11-2024,23:04.46,OBS Studio,1.27,448452,2,Active,35
Friday,01-11-2024,20:25.20,Jira,0.71,354514,1,Active,15
Friday,01-11-2024,20:32.36,Adobe Photoshop,2.44,146222,2,Active,36
Friday,01-11-2024,12:10.04,Steam,0.45,196618,2,Active,15
Friday,01-11-2024,09:36.01,OneNote,2.97,294962,2,Active,31
Friday,01-11-2024,21:15.13,Adobe Photoshop,4.01,114460,2,Active,23
Friday,01-11-2024,13:41.10,Teams,3.41,198168,1,Active,44
Friday,01-11-2024,00:31.16,Edge,0.43,629284,4,Active,36
Friday,01-11-2024,08:33.36,IntelliJ IDEA,3.89,361581,2,Inactive,39
Friday,01-11-2024,07:40.41,Chrome,0.55,589551,1,Active,47
Friday,01-11-2024,11:41.10,YouTube,3.31,357672,4,Active,45
Friday,01-11-2024,15:50.35,Discord,4.16,464024,2,Active,25
Friday,01-11-2024,16:41.05,Visual Studio,4.57,574923,2,Inactive,35
Friday,01-11-2024,08:31.29,Discord,0.51,630665,1,Inactive,46
Friday,01-11-2024,13:24.27,PowerPoint,4.09,475851,1,Inactive,13
Friday,01-11-2024,20:50.45,Teams,0.95,123384,2,Inactive,14
Friday,01-11-2024,07:37.45,WhatsApp,4.49,232152,2,Active,45
Friday,01-11-2024,22:06.42,Zoom,0.41,215699,4,Inactive,28
Friday,01-11-2024,14:19.41,IntelliJ IDEA,1.18,521350,1,Active,49
Friday,01-11-2024,10:04.32,Discord,0.41,542947,3,Inactive,26
Friday,01-11-2024,17:20.10,Android Studio,2.16,158062,2,Active,36
Friday,01-11-2024,08:13.06,Slack,0.83,214872,1,Inactive,27
Friday,01-11-2024,11:04.50,Telegram,1.57,437708,1,Active,39
Friday,01-11-2024,17:42.42,YouTube,1.21,290392,2,Inactive,28
Friday,01-11-2024,11:44.47,Discord,4.81,205218,1,Active,21
Friday,01-11-2024,20:09.51,Edge,2.12,118523,2,Inactive,57
Friday,01-11-2024,20:12.19,Telegram,4.36,552904,1,Inactive,53
Friday,01-11-2024,12:23.35,Firefox,4.41,576193,1,Active,46
Friday,01-11-2024,14:23.34,MATLAB,2.47,141927,2,Active,54
Friday,01-11-2024,11:46.52,Netflix,4.4,117938,1,Inactive,13
Friday,01-11-2024,17:45.42,Trello,4.89,584073,2,Active,42
Friday,01-11-2024,16:23.40,Google Drive,3.29,672810,1,Inactive,57
Friday,01-11-2024,00:40.31,Adobe Photoshop,1.64,695825,2,Active,39
Friday,01-11-2024,11:38.32,Unity,2.05,347668,4,Inactive,48
Friday,01-11-2024,22:47.54,Spotify,1.9,336438,2,Active,23
Friday,01-11-2024,19:45.32,Trello,1.24,665470,1,Active,38
Friday,01-11-2024,16:02.18,Figma,0.9,681198,2,Inactive,52
Friday,01-11-2024,22:04.04,Excel,4.6,175727,2,Inactive,47
Friday,01-11-2024,07:51.32,Jira,0.74,358272,1,Active,40
Friday,01-11-2024,09:31.05,Chrome,4.54,581266,1,Inactive,27
Friday,01-11-2024,20:28.33,Steam,1.35,345739,1,Active,54
Friday,01-11-2024,19:30.05,Zoom,0.77,527075,1,Inactive,13
Friday,01-11-2024,15:10.28,OBS Studio,1.99,164181,2,Inactive,54
Friday,01-11-2024,15:36.12,OBS Studio,2.92,146389,4,Active,54
Friday,01-11-2024,14:07.23,Figma,0.84,475805,1,Inactive,48
Friday,01-11-2024,17:49.36,Opera,3.15,292707,1,Active,30
Friday,01-11-2024,16:27.55,Notion,0.89,175759,3,Active,17
Saturday,02-11-2024,10:13.59,VSCode,2.95,281625,3,Inactive,55
Saturday,02-11-2024,11:03.39,OBS Studio,3.32,637109,4,Active,33
Saturday,02-11-2024,12:56.11,IntelliJ IDEA,1.81,694599,1,Inactive,12
Saturday,02-11-2024,15:00.04,PowerPoint,3.2,397378,4,Inactive,33
Saturday,02-11-2024,09:53.14,Adobe Illustrator,4.54,442618,2,Active,57
Saturday,02-11-2024,15:06.19,Telegram,4.39,124964,4,Inactive,12
