Day,Date,Time,App,CPU(%),Memory(KB),Launch Frequency,Window Status,Session Duration (min)
Monday,11-11-2024,00:40.1,VSCode,3.73,356787,1,Active,52
Monday,11-11-2024,01:06.7,Outlook,0.53,542417,1,Active,10
Monday,11-11-2024,02:13.2,Windows Terminal,3.05,688508,1,Inactive,19
Monday,11-11-2024,03:28.6,Jira,4.07,106814,1,Inactive,26
Monday,11-11-2024,04:17.2,Postman,4.79,452944,1,Active,29
Monday,11-11-2024,05:06.4,Netflix,3.06,145561,3,Inactive,39
Monday,11-11-2024,06:08.0,Discord,0.49,407419,3,Inactive,41
Monday,11-11-2024,07:12.7,Slack,0.32,338968,2,Active,59
Monday,11-11-2024,08:14.9,Chrome,1.96,575435,3,Inactive,15
Monday,11-11-2024,09:23.4,Postman,3.38,779514,1,Active,39
Monday,11-11-2024,10:46.3,GitHub Desktop,2.37,383060,3,Active,48
Monday,11-11-2024,11:20.9,Microsoft Teams,1.22,133659,2,Inactive,22
Monday,11-11-2024,12:04.2,Spotify,1.14,623481,2,Inactive,14
Monday,11-11-2024,13:16.1,IntelliJ IDEA,3.75,665158,2,Inactive,42
Monday,11-11-2024,14:25.4,IntelliJ IDEA,4.99,245051,3,Inactive,10
Monday,11-11-2024,15:48.0,Chrome,0.85,267753,3,Inactive,43
Monday,11-11-2024,16:04.4,Discord,3.02,590785,3,Inactive,40
Monday,11-11-2024,17:56.0,VSCode,3.43,220116,3,Inactive,54
Monday,11-11-2024,18:41.4,Chrome,1.54,265840,2,Active,51
Monday,11-11-2024,19:56.8,Jira,4.86,287330,3,Active,60
Monday,11-11-2024,20:40.3,Windows Terminal,3.08,260263,2,Active,39
Monday,11-11-2024,21:50.0,Windows Terminal,4.6,728038,2,Inactive,6
Monday,11-11-2024,22:08.0,Netflix,4.41,422451,1,Active,20
Monday,11-11-2024,23:56.6,Slack,0.52,609597,1,Active,13
Monday,11-11-2024,24:42.5,Outlook,0.91,653306,3,Inactive,18
Monday,11-11-2024,25:59.6,Postman,3.59,518373,3,Inactive,33
